listing_id,snapshot_date,operation_type,category,sub_category,description,rooms,area_m2,floor,total_floors,is_new_building,renovation,building_material,price_usd,price_uzs,currency,region,city,district,address,latitude,longitude,views,clicks,favorites,is_vip,is_premium,is_urgently,seller_id,photos_count,main_photo,posted_at,bumped_at,expires_at,url,scraped_at
1317450,2026-07-21,sale,Дом,Частный дом,"ВСЕ УДОБСТВО ЕСТЬ ПОДРОБНО ПО ТЕЛЕЙОНУ  ",6+,200.0,,1,false,sredniy,kirpich,210000.0,2526562500.0,USD,Ташкентская область,Ташкент,Сергелийский район,"улица Олтинводий, 124",41.26358,69.244133,109,0,0,false,false,false,286122,12,https://api.uybor.uz/api/v1/media/n/17836683817673754.jpeg,2026-07-10T07:27:13.300Z,2026-07-10T07:27:13.298Z,2026-08-24T07:27:13.298Z,https://uybor.uz/listings/1317450,2026-07-21 05:06:32
1317451,2026-07-21,sale,Квартира,,"ЖК «NOVDAR»/ Юнусабад-17
Ор-р: Ташкентский Архитектурно-строительный университет, автобусная Конечка 

#1_комнатная (студия)
10-й этаж
11 этажный кирпичный дом 
Общая площадь 25.2m²

Состояние: свежий авторский ремонт, с мебелью и техникой. с/у совмещенный. ",1,25.1,10,11,true,evro,kirpich,45900.0,552234375.0,USD,Ташкентская область,Ташкент,Юнусабадский район,17-й квартал,41.366058,69.310402,438,2,0,false,false,true,56731,6,https://api.uybor.uz/api/v1/media/n/17836707277706187.jpg,2026-07-10T08:06:05.017Z,2026-07-19T08:09:00.105Z,2026-08-24T08:06:05.015Z,https://uybor.uz/listings/1317451,2026-07-21 05:06:32
1317452,2026-07-21,sale,Квартира,,"Квартира Срочна Сотилади .

4-каватли Панельный Дом.

3-хона 4-этаж 70 м² кв.

Икки томонлама проект Ветрений дом.

Ор-р: Технология Иниститути.

Нархи: 44.500 💸💸💸


Иккиламчи Кредитга Булади",3,70.0,4,4,false,evro,panel,44500.0,535390625.0,USD,Бухарская область,Бухара,,Бухара,39.773623,64.431834,118,1,0,false,false,false,286124,9,https://api.uybor.uz/api/v1/media/n/17836725152327922.jpeg,2026-07-10T08:35:22.340Z,2026-07-10T08:35:22.339Z,2026-08-24T08:35:22.339Z,https://uybor.uz/listings/1317452,2026-07-21 05:06:32
1317453,2026-07-21,sale,Квартира,,"NRG JOMIY/Алмазарский район
Ор-р: круг Джоми 

#2х_комнатная
2-й этаж
12 этажный дом
Общая площадь 72 м2 +балклн
Состояние: авторский ремонт, укомплектована полностью мебелью и техникой. Комнаты раздельные, кухня отдельно, большая.

",2,72.0,2,11,true,custom,kirpich,124000.0,1491875000.0,USD,Ташкентская область,Ташкент,Алмазарский район,ЖК НРГ Жомий,41.351742,69.255455,237,1,0,false,false,false,56731,9,https://api.uybor.uz/api/v1/media/n/17836726999433151.jpg,2026-07-10T08:39:06.545Z,2026-07-10T08:39:06.543Z,2026-08-24T08:39:06.543Z,https://uybor.uz/listings/1317453,2026-07-21 05:06:32
1317457,2026-07-21,sale,Квартира,,"Продаю квартиру в Сергели в новостройке
Квартира новая не разделенная ",freeLayout,78.35,2,12,true,kapital,monolit,85000.0,1022656250.0,USD,Ташкентская область,Ташкент,Янгихаётский район,улица Марказий,41.189083,69.26503,199,0,0,false,false,false,286131,3,https://api.uybor.uz/api/v1/media/n/17836808388086397.jpeg,2026-07-10T10:56:18.109Z,2026-07-10T10:57:43.553Z,2026-08-24T10:56:18.108Z,https://uybor.uz/listings/1317457,2026-07-21 05:06:32
1317458,2026-07-21,sale,Для бизнеса,Готовый бизнес,"Арендный бизнес в Ташкенте: 200 м² 2×этажный здание с арендаторами чистый доход 3000 

Локация: Яккасараском районе махалля Мукумий, Ташкента тел

Финансы:
Ежемесячный чистый прибыл: 3000 
Срок и условия договора аренды: действующий договор на 5 лет с правом пролонгации;
эксплуатационные расходы: коммунальные платежи, охрана, вывоз мусора и т. п. Оплачивает арендатор.

Преимущества:
стабильный денежный поток без участия собственника;
удачное расположение в районе с активным трафиком;
гибкость использования площадей — можно сохранить текущего арендатора либо перезаключить на более выгодных условиях;
участок расширяет функционал объекта и повышает привлекательность для арендаторов.
Риски/нюансы отсутствует 

В сделку входит
Право собственности на помещения и участок
Мебель оборудование техника все что нужно для бизнеса.

Возможен обоснованный торг после проверки документов и осмотра.

Готов оперативно предоставить документы, финансовую модель и организ",,200.0,2,2,false,custom,kirpich,315000.0,3789843750.0,USD,Ташкентская область,Ташкент,Яккасарайский район,"улица Мерос, 10А",41.278454,69.231712,177,1,0,false,false,true,210368,12,https://api.uybor.uz/api/v1/media/n/17842727348856161.jpeg,2026-07-10T11:25:06.785Z,2026-07-20T06:32:00.108Z,2026-08-24T11:25:06.782Z,https://uybor.uz/listings/1317458,2026-07-21 05:06:32
1317459,2026-07-21,sale,Квартира,,"Своя квартира 4х комнатная переделанная в 5 комнатную, есть свой подвал 5.25х3.2, рядом Корзинка, дет.сад, школы, поликлиника, ТРЦ Компасс",5,76.0,1,4,false,sredniy,monolit,90000.0,1082812500.0,USD,Ташкентская область,Ташкент,Мирабадский район,массив Куйлюк,41.248596,69.308914,244,0,0,false,false,false,285248,5,https://api.uybor.uz/api/v1/media/n/17836827059103276.jpeg,2026-07-10T11:25:25.011Z,2026-07-10T11:25:25.007Z,2026-08-24T11:25:25.007Z,https://uybor.uz/listings/1317459,2026-07-21 05:06:32
1317460,2026-07-21,sale,Квартира,,"Чиланзар 20, своя 2^3/2/4   балкон 1,5×6",2,50.0,2,4,false,evro,panel,70000.0,842187500.0,USD,Ташкентская область,Ташкент,Чиланзарский район,квартал 20Д,41.266464,69.180428,242,2,0,false,false,false,286133,12,https://api.uybor.uz/api/v1/media/n/17836834968077419.jpeg,2026-07-10T11:38:34.612Z,2026-07-10T11:38:34.610Z,2026-08-24T11:38:34.610Z,https://uybor.uz/listings/1317460,2026-07-21 05:06:32
1317462,2026-07-21,sale,Земельный участок,Жилой,"Земельный участок и жилой дом находится в Ферганском районе , кишлак Янбарак, общая площадь земельного участка 26 соток , на участке находятся постройки , земельный участок ухоженный , есть плодовые деревья , урюк, большая орешина, свет, вода, газ присутствует , вокруг хорошие соседи , дорога асфальтированная , хороший и чистый горный воздух , земельный участок огорожен глухим забором . Готовы отдать в хорошие руки . Торг уместен",,,,,false,,,80000.0,962500000.0,USD,Ферганская область,населённый пункт Ямбарак,,улица Давон,40.256783,71.696983,131,0,0,false,false,false,285572,14,https://api.uybor.uz/api/v1/media/n/17836954688946412.jpg,2026-07-10T14:58:10.205Z,2026-07-10T14:58:27.690Z,2026-08-24T14:58:10.203Z,https://uybor.uz/listings/1317462,2026-07-21 05:06:32
1317463,2026-07-21,sale,Квартира,,"Продается 4-комнатная квартира 110 м² в Мирзо-Улугбекском районе, Карасу (Авайхон). Монолитный дом 2020 года, 16/16 этаж, 2 балкона, газ, индивидуальное отопление. Имеет 2 лифта. Рядом школа, детский сад, супермаркет и мечеть Олтинтепа. Ипотека возможна. Собственник.  Торг уместен.

Mirzo Ulug‘bek tumani, Qorasuv (Avayxon)da 110 m², 4 xonali kvartira sotiladi. 2020-yilgi monolit uy, 16/16-qavat, 2 ta balkon, gaz va individual kotyol. 2 lift bor. Maktab, bog‘cha, supermarket va Oltintepa masjidi yaqin. Ipoteka mumkin. Egasi.  Kelishiladi.",4,110.0,16,16,true,sredniy,monolit,109900.0,1322234375.0,USD,Ташкентская область,Ташкент,Мирзо-Улугбекский район,"улица Авайхон, 98/5",41.322128,69.361168,289,1,1,false,false,false,286141,6,https://api.uybor.uz/api/v1/media/n/17836969049544785.png,2026-07-10T15:23:48.673Z,2026-07-10T15:23:48.671Z,2026-08-24T15:23:48.671Z,https://uybor.uz/listings/1317463,2026-07-21 05:06:32
1317466,2026-07-21,sale,Дом,Частный дом,"Luxury 2-storey brick house for sale in one of the most prestigious locations in Samarkand, near Registan Square.

• 7 rooms
• 2 kitchens
• 2 bathrooms
• Renovated
• Land area: 186.48 m²
• Total built-up area: 167.02 m²

Excellent opportunity for both private residence and investment. The property is suitable for a boutique hotel, guest house, company office, or commercial redevelopment due to its exceptional location near Registan.

Price: USD 700,000 (Negotiable).",6+,167.0,,2,false,evro,kirpich,700000.0,8421875000.0,USD,Самаркандская область,Самарканд,,"улица Лабигор, 17",39.651751,66.976402,82,3,0,false,false,false,144819,15,https://api.uybor.uz/api/v1/media/n/17836992703909082.jpg,2026-07-10T16:07:21.034Z,2026-07-10T16:07:21.032Z,2026-08-24T16:07:21.032Z,https://uybor.uz/listings/1317466,2026-07-21 05:06:32
1317470,2026-07-21,sale,Земельный участок,Жилой,"📍 Yangiyo’lda 4 sotix yer uchastkasi sotiladi!

Qulay joylashuvdagi 4 sotix yer sotiladi.

✅ Manzil: Yangiyo’l
✅ Maydoni: 4 sotix
✅ Asfalt yo’lga juda yaqin
✅ Ichki yo’llari ham asfalt
✅ Uy qurish va investitsiya uchun qulay

💰 Narxi: 1 sotixi – 3 500 AQSH dollari.
(Jami narx: 14 000 AQSH dollari)

📞 Jiddiy xaridorlar murojaat qilsin. Qo’shimcha ma’lumot telefon orqali beriladi",,,,,false,,,14000.0,168437500.0,USD,Ташкентская область,населённый пункт Шуралисай,,улица Шуралисой,41.107716,68.948578,53,0,0,false,false,false,286147,4,https://api.uybor.uz/api/v1/media/n/17837048733542903.jpg,2026-07-10T17:38:27.325Z,2026-07-10T17:38:27.324Z,2026-08-24T17:38:27.324Z,https://uybor.uz/listings/1317470,2026-07-21 05:06:32
1317480,2026-07-21,sale,Квартира,,"Дом свой !!!
Продаётся кв
Площадь дома — 77.9
Яккасарайский район массив Башлык
Этажность дома 5 
Этаж 1
Место для парковки машин имеется
С мебелью и техникой.
Средний ремонт
Рядом имеется школа и садик

",3,77.9,1,5,false,sredniy,panel,110000.0,1323437500.0,USD,Ташкентская область,Ташкент,Яккасарайский район,"массив Башлык, 26, подъезд 3",41.269287,69.247658,203,0,0,false,false,false,286058,3,https://api.uybor.uz/api/v1/media/n/17837097612431738.jpg,2026-07-10T19:14:33.551Z,2026-07-10T19:14:33.549Z,2026-08-24T19:14:33.549Z,https://uybor.uz/listings/1317480,2026-07-21 05:06:32
1317481,2026-07-21,sale,Квартира,,"
Дом свой !!!
Продаётся кв
Площадь дома — 77,9
Яккасарайский район массив Башлык.
Этаж 1 этажность дома 5
Комнат 3
Парковочное место доя машин имеется
С мебелью и техникой
Ремонт средний
Рядом имеется школа и садик
Средства комуникаций имеется
",3,77.9,1,5,false,sredniy,panel,110000.0,1323437500.0,USD,Ташкентская область,Ташкент,Яккасарайский район,"массив Башлык, 26, подъезд 3",41.269287,69.247658,119,0,0,false,false,false,286058,3,https://api.uybor.uz/api/v1/media/n/17837116341789130.jpg,2026-07-10T19:27:32.001Z,2026-07-10T19:28:37.617Z,2026-08-24T19:27:31.999Z,https://uybor.uz/listings/1317481,2026-07-21 05:06:32
